0.000 138.010
0.010	137.230
0.020	136.180
0.030	134.740
0.040	132.210
0.050	129.770
0.060	128.440
0.070	127.630
0.080	127.280
0.090	128.330
0.100	145.140
0.110	153.190
0.120	154.490
0.130	152.320
0.140	148.970
0.150	144.630
0.160	141.460
0.170	139.980
0.180	137.720
0.190	135.770
0.200	133.870
0.210	132.420
0.220	131.620
0.230	131.220
0.240	130.670
0.250	129.880
0.260	129.460
0.270	143.820
0.280	153.680
0.290	155.790
0.300	153.890
0.310	150.480
0.320	146.310
0.330	142.400
0.340	141.010
0.350	139.890
0.360	138.530
0.370	135.840
0.380	133.750
0.390	132.130
0.400	131.260
0.410	130.750
0.420	130.210
0.430	130.010
0.440	142.680
0.450	154.580
0.460	157.510
0.470	156.030
0.480	152.720
0.490	149.290
0.500	144.330
0.510	142.620
0.520	141.060
0.530	139.380
0.540	137.120
0.550	135.000
0.560	133.610
0.570	132.730
0.580	131.940
0.590	131.250
0.600	130.700
0.610	140.990
0.620	154.430
0.630	158.090
0.640	157.040
0.650	153.990
0.660	151.130
0.670	145.790
0.680	143.730
0.690	142.010
0.700	140.950
0.710	139.700
0.720	137.900
0.730	135.030
0.740	133.050
0.750	131.690
0.760	130.930
0.770	130.580
0.780	140.650
0.790	154.840
0.800	158.750
0.810	157.710
0.820	154.570
0.830	151.880
0.840	146.650
0.850	144.330
0.860	142.570
0.870	141.310
0.880	140.040
0.890	137.570
0.900	135.000
0.910	133.130
0.920	132.010
0.930	131.260
0.940	130.790
0.950	140.540
0.960	154.790
0.970	158.560
